Product,Market,Month,Value
200S,US,Jan-07,81
200S,US,Feb-07,88
200S,US,Mar-07,81
200S,US,Apr-07,77
200S,US,May-07,85
200S,US,Jun-07,84
200S,US,Jul-07,78
200S,US,Aug-07,77
200S,US,Sep-07,69
200S,US,Oct-07,72
200S,US,Nov-07,69
200S,US,Dec-07,71
200S,US,Jan-08,72
200S,US,Feb-08,66
200S,US,Mar-08,72
200S,US,Apr-08,69
200S,US,May-08,69
200S,US,Jun-08,61
200S,US,Jul-08,59
200S,US,Aug-08,56
200S,US,Sep-08,62
200S,US,Oct-08,58
200S,US,Nov-08,57
200S,US,Dec-08,53
200S,Canada,Jan-07,93
200S,Canada,Feb-07,96
200S,Canada,Mar-07,97
200S,Canada,Apr-07,92
200S,Canada,May-07,92
200S,Canada,Jun-07,85
200S,Canada,Jul-07,83
200S,Canada,Aug-07,81
200S,Canada,Sep-07,77
200S,Canada,Oct-07,77
200S,Canada,Nov-07,84
200S,Canada,Dec-07,74
200S,Canada,Jan-08,78
200S,Canada,Feb-08,79
200S,Canada,Mar-08,72
200S,Canada,Apr-08,73
200S,Canada,May-08,71
200S,Canada,Jun-08,72
200S,Canada,Jul-08,70
200S,Canada,Aug-08,68
200S,Canada,Sep-08,67
200S,Canada,Oct-08,65
200S,Canada,Nov-08,60
200S,Canada,Dec-08,64
200S,Brazil,Jan-07,90
200S,Brazil,Feb-07,88
200S,Brazil,Mar-07,90
200S,Brazil,Apr-07,83
200S,Brazil,May-07,89
200S,Brazil,Jun-07,88
200S,Brazil,Jul-07,78
200S,Brazil,Aug-07,77
200S,Brazil,Sep-07,78
200S,Brazil,Oct-07,73
200S,Brazil,Nov-07,79
200S,Brazil,Dec-07,71
200S,Brazil,Jan-08,80
200S,Brazil,Feb-08,70
200S,Brazil,Mar-08,73
200S,Brazil,Apr-08,75
200S,Brazil,May-08,69
200S,Brazil,Jun-08,69
200S,Brazil,Jul-08,69
200S,Brazil,Aug-08,68
200S,Brazil,Sep-08,59
200S,Brazil,Oct-08,59
200S,Brazil,Nov-08,61
200S,Brazil,Dec-08,57
200S,Argentina,Jan-07,64
200S,Argentina,Feb-07,67
200S,Argentina,Mar-07,61
200S,Argentina,Apr-07,63
200S,Argentina,May-07,59
200S,Argentina,Jun-07,59
200S,Argentina,Jul-07,60
200S,Argentina,Aug-07,51
200S,Argentina,Sep-07,49
200S,Argentina,Oct-07,52
200S,Argentina,Nov-07,47
200S,Argentina,Dec-07,56
200S,Argentina,Jan-08,52
200S,Argentina,Feb-08,52
200S,Argentina,Mar-08,47
200S,Argentina,Apr-08,49
200S,Argentina,May-08,48
200S,Argentina,Jun-08,49
200S,Argentina,Jul-08,44
200S,Argentina,Aug-08,39
200S,Argentina,Sep-08,39
200S,Argentina,Oct-08,42
200S,Argentina,Nov-08,45
200S,Argentina,Dec-08,38
200S,UK,Jan-07,72
200S,UK,Feb-07,73
200S,UK,Mar-07,71
200S,UK,Apr-07,75
200S,UK,May-07,73
200S,UK,Jun-07,74
200S,UK,Jul-07,64
200S,UK,Aug-07,65
200S,UK,Sep-07,64
200S,UK,Oct-07,64
200S,UK,Nov-07,63
200S,UK,Dec-07,58
200S,UK,Jan-08,60
200S,UK,Feb-08,64
200S,UK,Mar-08,59
200S,UK,Apr-08,60
200S,UK,May-08,61
200S,UK,Jun-08,61
200S,UK,Jul-08,49
200S,UK,Aug-08,52
200S,UK,Sep-08,46
200S,UK,Oct-08,45
200S,UK,Nov-08,47
200S,UK,Dec-08,47
200S,France,Jan-07,83
200S,France,Feb-07,79
200S,France,Mar-07,75
200S,France,Apr-07,83
200S,France,May-07,83
200S,France,Jun-07,76
200S,France,Jul-07,66
200S,France,Aug-07,69
200S,France,Sep-07,66
200S,France,Oct-07,63
200S,France,Nov-07,65
200S,France,Dec-07,63
200S,France,Jan-08,69
200S,France,Feb-08,70
200S,France,Mar-08,70
200S,France,Apr-08,70
200S,France,May-08,65
200S,France,Jun-08,61
200S,France,Jul-08,53
200S,France,Aug-08,56
200S,France,Sep-08,54
200S,France,Oct-08,52
200S,France,Nov-08,47
200S,France,Dec-08,49
200S,Germany,Jan-07,22
200S,Germany,Feb-07,30
200S,Germany,Mar-07,22
200S,Germany,Apr-07,26
200S,Germany,May-07,23
200S,Germany,Jun-07,25
200S,Germany,Jul-07,23
200S,Germany,Aug-07,18
200S,Germany,Sep-07,22
200S,Germany,Oct-07,17
200S,Germany,Nov-07,19
200S,Germany,Dec-07,16
200S,Germany,Jan-08,20
200S,Germany,Feb-08,18
200S,Germany,Mar-08,25
200S,Germany,Apr-08,17
200S,Germany,May-08,22
200S,Germany,Jun-08,20
200S,Germany,Jul-08,16
200S,Germany,Aug-08,17
200S,Germany,Sep-08,22
200S,Germany,Oct-08,15
200S,Germany,Nov-08,17
200S,Germany,Dec-08,17
200S,Spain,Jan-07,68
200S,Spain,Feb-07,65
200S,Spain,Mar-07,59
200S,Spain,Apr-07,69
200S,Spain,May-07,65
200S,Spain,Jun-07,61
200S,Spain,Jul-07,52
200S,Spain,Aug-07,58
200S,Spain,Sep-07,57
200S,Spain,Oct-07,55
200S,Spain,Nov-07,52
200S,Spain,Dec-07,47
200S,Spain,Jan-08,55
200S,Spain,Feb-08,56
200S,Spain,Mar-08,53
200S,Spain,Apr-08,52
200S,Spain,May-08,56
200S,Spain,Jun-08,48
200S,Spain,Jul-08,45
200S,Spain,Aug-08,43
200S,Spain,Sep-08,39
200S,Spain,Oct-08,38
200S,Spain,Nov-08,45
200S,Spain,Dec-08,37
200S,Italy,Jan-07,32
200S,Italy,Feb-07,34
200S,Italy,Mar-07,36
200S,Italy,Apr-07,37
200S,Italy,May-07,33
200S,Italy,Jun-07,38
200S,Italy,Jul-07,29
200S,Italy,Aug-07,32
200S,Italy,Sep-07,29
200S,Italy,Oct-07,30
200S,Italy,Nov-07,32
200S,Italy,Dec-07,28
200S,Italy,Jan-08,32
200S,Italy,Feb-08,30
200S,Italy,Mar-08,33
200S,Italy,Apr-08,30
200S,Italy,May-08,24
200S,Italy,Jun-08,33
200S,Italy,Jul-08,28
200S,Italy,Aug-08,22
200S,Italy,Sep-08,23
200S,Italy,Oct-08,20
200S,Italy,Nov-08,19
200S,Italy,Dec-08,26
200S,China,Jan-07,87
200S,China,Feb-07,82
200S,China,Mar-07,87
200S,China,Apr-07,88
200S,China,May-07,83
200S,China,Jun-07,83
200S,China,Jul-07,81
200S,China,Aug-07,76
200S,China,Sep-07,76
200S,China,Oct-07,76
200S,China,Nov-07,70
200S,China,Dec-07,72
200S,China,Jan-08,73
200S,China,Feb-08,72
200S,China,Mar-08,73
200S,China,Apr-08,64
200S,China,May-08,63
200S,China,Jun-08,64
200S,China,Jul-08,64
200S,China,Aug-08,63
200S,China,Sep-08,58
200S,China,Oct-08,63
200S,China,Nov-08,59
200S,China,Dec-08,59
200S,Japan,Jan-07,64
200S,Japan,Feb-07,63
200S,Japan,Mar-07,58
200S,Japan,Apr-07,54
200S,Japan,May-07,53
200S,Japan,Jun-07,53
200S,Japan,Jul-07,60
200S,Japan,Aug-07,53
200S,Japan,Sep-07,54
200S,Japan,Oct-07,53
200S,Japan,Nov-07,54
200S,Japan,Dec-07,55
200S,Japan,Jan-08,46
200S,Japan,Feb-08,46
200S,Japan,Mar-08,47
200S,Japan,Apr-08,43
200S,Japan,May-08,49
200S,Japan,Jun-08,43
200S,Japan,Jul-08,43
200S,Japan,Aug-08,44
200S,Japan,Sep-08,41
200S,Japan,Oct-08,42
200S,Japan,Nov-08,38
200S,Japan,Dec-08,37
300S,US,Jan-07,28
300S,US,Feb-07,28
300S,US,Mar-07,22
300S,US,Apr-07,27
300S,US,May-07,27
300S,US,Jun-07,27
300S,US,Jul-07,21
300S,US,Aug-07,28
300S,US,Sep-07,19
300S,US,Oct-07,22
300S,US,Nov-07,27
300S,US,Dec-07,21
300S,US,Jan-08,25
300S,US,Feb-08,27
300S,US,Mar-08,23
300S,US,Apr-08,24
300S,US,May-08,22
300S,US,Jun-08,26
300S,US,Jul-08,18
300S,US,Aug-08,17
300S,US,Sep-08,20
300S,US,Oct-08,23
300S,US,Nov-08,17
300S,US,Dec-08,18
300S,Canada,Jan-07,20
300S,Canada,Feb-07,23
300S,Canada,Mar-07,22
300S,Canada,Apr-07,16
300S,Canada,May-07,16
300S,Canada,Jun-07,17
300S,Canada,Jul-07,20
300S,Canada,Aug-07,20
300S,Canada,Sep-07,20
300S,Canada,Oct-07,19
300S,Canada,Nov-07,12
300S,Canada,Dec-07,19
300S,Canada,Jan-08,21
300S,Canada,Feb-08,17
300S,Canada,Mar-08,15
300S,Canada,Apr-08,15
300S,Canada,May-08,13
300S,Canada,Jun-08,17
300S,Canada,Jul-08,10
300S,Canada,Aug-08,14
300S,Canada,Sep-08,11
300S,Canada,Oct-08,12
300S,Canada,Nov-08,11
300S,Canada,Dec-08,16
300S,Brazil,Jan-07,62
300S,Brazil,Feb-07,58
300S,Brazil,Mar-07,55
300S,Brazil,Apr-07,59
300S,Brazil,May-07,53
300S,Brazil,Jun-07,54
300S,Brazil,Jul-07,53
300S,Brazil,Aug-07,49
300S,Brazil,Sep-07,54
300S,Brazil,Oct-07,53
300S,Brazil,Nov-07,44
300S,Brazil,Dec-07,51
300S,Brazil,Jan-08,52
300S,Brazil,Feb-08,48
300S,Brazil,Mar-08,47
300S,Brazil,Apr-08,49
300S,Brazil,May-08,46
300S,Brazil,Jun-08,42
300S,Brazil,Jul-08,37
300S,Brazil,Aug-08,36
300S,Brazil,Sep-08,38
300S,Brazil,Oct-08,35
300S,Brazil,Nov-08,35
300S,Brazil,Dec-08,33
300S,Argentina,Jan-07,46
300S,Argentina,Feb-07,41
300S,Argentina,Mar-07,44
300S,Argentina,Apr-07,38
300S,Argentina,May-07,43
300S,Argentina,Jun-07,39
300S,Argentina,Jul-07,40
300S,Argentina,Aug-07,36
300S,Argentina,Sep-07,38
300S,Argentina,Oct-07,36
300S,Argentina,Nov-07,34
300S,Argentina,Dec-07,29
300S,Argentina,Jan-08,32
300S,Argentina,Feb-08,34
300S,Argentina,Mar-08,38
300S,Argentina,Apr-08,34
300S,Argentina,May-08,37
300S,Argentina,Jun-08,33
300S,Argentina,Jul-08,29
300S,Argentina,Aug-08,30
300S,Argentina,Sep-08,27
300S,Argentina,Oct-08,31
300S,Argentina,Nov-08,30
300S,Argentina,Dec-08,23
300S,UK,Jan-07,27
300S,UK,Feb-07,30
300S,UK,Mar-07,30
300S,UK,Apr-07,29
300S,UK,May-07,25
300S,UK,Jun-07,25
300S,UK,Jul-07,28
300S,UK,Aug-07,21
300S,UK,Sep-07,26
300S,UK,Oct-07,27
300S,UK,Nov-07,25
300S,UK,Dec-07,22
300S,UK,Jan-08,22
300S,UK,Feb-08,22
300S,UK,Mar-08,29
300S,UK,Apr-08,24
300S,UK,May-08,21
300S,UK,Jun-08,25
300S,UK,Jul-08,19
300S,UK,Aug-08,21
300S,UK,Sep-08,18
300S,UK,Oct-08,16
300S,UK,Nov-08,18
300S,UK,Dec-08,16
300S,France,Jan-07,108
300S,France,Feb-07,108
300S,France,Mar-07,105
300S,France,Apr-07,108
300S,France,May-07,112
300S,France,Jun-07,104
300S,France,Jul-07,90
300S,France,Aug-07,89
300S,France,Sep-07,85
300S,France,Oct-07,88
300S,France,Nov-07,91
300S,France,Dec-07,84
300S,France,Jan-08,94
300S,France,Feb-08,87
300S,France,Mar-08,90
300S,France,Apr-08,96
300S,France,May-08,90
300S,France,Jun-08,90
300S,France,Jul-08,72
300S,France,Aug-08,79
300S,France,Sep-08,76
300S,France,Oct-08,72
300S,France,Nov-08,72
300S,France,Dec-08,68
300S,Germany,Jan-07,36
300S,Germany,Feb-07,45
300S,Germany,Mar-07,44
300S,Germany,Apr-07,43
300S,Germany,May-07,38
300S,Germany,Jun-07,39
300S,Germany,Jul-07,37
300S,Germany,Aug-07,37
300S,Germany,Sep-07,32
300S,Germany,Oct-07,33
300S,Germany,Nov-07,38
300S,Germany,Dec-07,37
300S,Germany,Jan-08,37
300S,Germany,Feb-08,31
300S,Germany,Mar-08,35
300S,Germany,Apr-08,31
300S,Germany,May-08,31
300S,Germany,Jun-08,36
300S,Germany,Jul-08,31
300S,Germany,Aug-08,29
300S,Germany,Sep-08,31
300S,Germany,Oct-08,24
