Product,Market,Month,Value
200S,US,Jan-07,727
200S,US,Feb-07,750
200S,US,Mar-07,735
200S,US,Apr-07,737
200S,US,May-07,724
200S,US,Jun-07,711
200S,US,Jul-07,721
200S,US,Aug-07,732
200S,US,Sep-07,717
200S,US,Oct-07,750
200S,US,Nov-07,744
200S,US,Dec-07,745
200S,US,Jan-08,733
200S,US,Feb-08,749
200S,US,Mar-08,715
200S,US,Apr-08,759
200S,US,May-08,741
200S,US,Jun-08,748
200S,US,Jul-08,755
200S,US,Aug-08,716
200S,US,Sep-08,730
200S,US,Oct-08,757
200S,US,Nov-08,725
200S,US,Dec-08,732
200S,Canada,Jan-07,713
200S,Canada,Feb-07,713
200S,Canada,Mar-07,745
200S,Canada,Apr-07,742
200S,Canada,May-07,752
200S,Canada,Jun-07,745
200S,Canada,Jul-07,758
200S,Canada,Aug-07,757
200S,Canada,Sep-07,716
200S,Canada,Oct-07,711
200S,Canada,Nov-07,739
200S,Canada,Dec-07,755
200S,Canada,Jan-08,735
200S,Canada,Feb-08,713
200S,Canada,Mar-08,732
200S,Canada,Apr-08,722
200S,Canada,May-08,753
200S,Canada,Jun-08,757
200S,Canada,Jul-08,718
200S,Canada,Aug-08,756
200S,Canada,Sep-08,750
200S,Canada,Oct-08,727
200S,Canada,Nov-08,753
200S,Canada,Dec-08,744
200S,Brazil,Jan-07,753
200S,Brazil,Feb-07,711
200S,Brazil,Mar-07,719
200S,Brazil,Apr-07,758
200S,Brazil,May-07,758
200S,Brazil,Jun-07,722
200S,Brazil,Jul-07,731
200S,Brazil,Aug-07,718
200S,Brazil,Sep-07,755
200S,Brazil,Oct-07,718
200S,Brazil,Nov-07,755
200S,Brazil,Dec-07,737
200S,Brazil,Jan-08,721
200S,Brazil,Feb-08,752
200S,Brazil,Mar-08,718
200S,Brazil,Apr-08,755
200S,Brazil,May-08,752
200S,Brazil,Jun-08,729
200S,Brazil,Jul-08,720
200S,Brazil,Aug-08,717
200S,Brazil,Sep-08,728
200S,Brazil,Oct-08,756
200S,Brazil,Nov-08,741
200S,Brazil,Dec-08,721
200S,Argentina,Jan-07,748
200S,Argentina,Feb-07,713
200S,Argentina,Mar-07,750
200S,Argentina,Apr-07,747
200S,Argentina,May-07,744
200S,Argentina,Jun-07,713
200S,Argentina,Jul-07,727
200S,Argentina,Aug-07,756
200S,Argentina,Sep-07,719
200S,Argentina,Oct-07,755
200S,Argentina,Nov-07,740
200S,Argentina,Dec-07,737
200S,Argentina,Jan-08,715
200S,Argentina,Feb-08,712
200S,Argentina,Mar-08,738
200S,Argentina,Apr-08,753
200S,Argentina,May-08,751
200S,Argentina,Jun-08,722
200S,Argentina,Jul-08,746
200S,Argentina,Aug-08,753
200S,Argentina,Sep-08,730
200S,Argentina,Oct-08,738
200S,Argentina,Nov-08,749
200S,Argentina,Dec-08,739
200S,UK,Jan-07,713
200S,UK,Feb-07,757
200S,UK,Mar-07,721
200S,UK,Apr-07,743
200S,UK,May-07,720
200S,UK,Jun-07,712
200S,UK,Jul-07,736
200S,UK,Aug-07,729
200S,UK,Sep-07,714
200S,UK,Oct-07,733
200S,UK,Nov-07,750
200S,UK,Dec-07,721
200S,UK,Jan-08,729
200S,UK,Feb-08,739
200S,UK,Mar-08,712
200S,UK,Apr-08,721
200S,UK,May-08,721
200S,UK,Jun-08,746
200S,UK,Jul-08,749
200S,UK,Aug-08,738
200S,UK,Sep-08,728
200S,UK,Oct-08,734
200S,UK,Nov-08,721
200S,UK,Dec-08,737
200S,France,Jan-07,728
200S,France,Feb-07,757
200S,France,Mar-07,714
200S,France,Apr-07,759
200S,France,May-07,730
200S,France,Jun-07,718
200S,France,Jul-07,711
200S,France,Aug-07,729
200S,France,Sep-07,741
200S,France,Oct-07,734
200S,France,Nov-07,733
200S,France,Dec-07,748
200S,France,Jan-08,735
200S,France,Feb-08,746
200S,France,Mar-08,726
200S,France,Apr-08,734
200S,France,May-08,728
200S,France,Jun-08,738
200S,France,Jul-08,759
200S,France,Aug-08,738
200S,France,Sep-08,735
200S,France,Oct-08,754
200S,France,Nov-08,732
200S,France,Dec-08,754
200S,Germany,Jan-07,735
200S,Germany,Feb-07,749
200S,Germany,Mar-07,756
200S,Germany,Apr-07,730
200S,Germany,May-07,742
200S,Germany,Jun-07,733
200S,Germany,Jul-07,713
200S,Germany,Aug-07,753
200S,Germany,Sep-07,724
200S,Germany,Oct-07,720
200S,Germany,Nov-07,749
200S,Germany,Dec-07,718
200S,Germany,Jan-08,728
200S,Germany,Feb-08,719
200S,Germany,Mar-08,724
200S,Germany,Apr-08,738
200S,Germany,May-08,731
200S,Germany,Jun-08,713
200S,Germany,Jul-08,736
200S,Germany,Aug-08,735
200S,Germany,Sep-08,720
200S,Germany,Oct-08,750
200S,Germany,Nov-08,728
200S,Germany,Dec-08,747
200S,Spain,Jan-07,728
200S,Spain,Feb-07,756
200S,Spain,Mar-07,739
200S,Spain,Apr-07,731
200S,Spain,May-07,757
200S,Spain,Jun-07,735
200S,Spain,Jul-07,740
200S,Spain,Aug-07,731
200S,Spain,Sep-07,735
200S,Spain,Oct-07,729
200S,Spain,Nov-07,723
200S,Spain,Dec-07,724
200S,Spain,Jan-08,726
200S,Spain,Feb-08,752
200S,Spain,Mar-08,738
200S,Spain,Apr-08,739
200S,Spain,May-08,738
200S,Spain,Jun-08,722
200S,Spain,Jul-08,718
200S,Spain,Aug-08,730
200S,Spain,Sep-08,754
200S,Spain,Oct-08,748
200S,Spain,Nov-08,756
200S,Spain,Dec-08,718
200S,Italy,Jan-07,746
200S,Italy,Feb-07,734
200S,Italy,Mar-07,737
200S,Italy,Apr-07,729
200S,Italy,May-07,728
200S,Italy,Jun-07,721
200S,Italy,Jul-07,744
200S,Italy,Aug-07,755
200S,Italy,Sep-07,732
200S,Italy,Oct-07,744
200S,Italy,Nov-07,728
200S,Italy,Dec-07,725
200S,Italy,Jan-08,716
200S,Italy,Feb-08,738
200S,Italy,Mar-08,740
200S,Italy,Apr-08,714
200S,Italy,May-08,757
200S,Italy,Jun-08,741
200S,Italy,Jul-08,747
200S,Italy,Aug-08,724
200S,Italy,Sep-08,752
200S,Italy,Oct-08,733
200S,Italy,Nov-08,725
200S,Italy,Dec-08,743
200S,China,Jan-07,712
200S,China,Feb-07,713
200S,China,Mar-07,724
200S,China,Apr-07,716
200S,China,May-07,747
200S,China,Jun-07,735
200S,China,Jul-07,738
200S,China,Aug-07,748
200S,China,Sep-07,731
200S,China,Oct-07,742
200S,China,Nov-07,732
200S,China,Dec-07,744
200S,China,Jan-08,756
200S,China,Feb-08,729
200S,China,Mar-08,753
200S,China,Apr-08,745
200S,China,May-08,752
200S,China,Jun-08,721
200S,China,Jul-08,750
200S,China,Aug-08,752
200S,China,Sep-08,734
200S,China,Oct-08,727
200S,China,Nov-08,753
200S,China,Dec-08,743
200S,Japan,Jan-07,724
200S,Japan,Feb-07,715
200S,Japan,Mar-07,739
200S,Japan,Apr-07,759
200S,Japan,May-07,758
200S,Japan,Jun-07,749
200S,Japan,Jul-07,731
200S,Japan,Aug-07,712
200S,Japan,Sep-07,747
200S,Japan,Oct-07,757
200S,Japan,Nov-07,756
200S,Japan,Dec-07,735
200S,Japan,Jan-08,748
200S,Japan,Feb-08,729
200S,Japan,Mar-08,738
200S,Japan,Apr-08,737
200S,Japan,May-08,723
200S,Japan,Jun-08,724
200S,Japan,Jul-08,740
200S,Japan,Aug-08,717
200S,Japan,Sep-08,732
200S,Japan,Oct-08,756
200S,Japan,Nov-08,717
200S,Japan,Dec-08,742
300S,US,Jan-07,811
300S,US,Feb-07,847
300S,US,Mar-07,839
300S,US,Apr-07,825
300S,US,May-07,814
300S,US,Jun-07,839
300S,US,Jul-07,807
300S,US,Aug-07,825
300S,US,Sep-07,814
300S,US,Oct-07,825
300S,US,Nov-07,806
300S,US,Dec-07,808
300S,US,Jan-08,841
300S,US,Feb-08,830
300S,US,Mar-08,847
300S,US,Apr-08,848
300S,US,May-08,851
300S,US,Jun-08,840
300S,US,Jul-08,826
300S,US,Aug-08,813
300S,US,Sep-08,842
300S,US,Oct-08,816
300S,US,Nov-08,845
300S,US,Dec-08,810
300S,Canada,Jan-07,848
300S,Canada,Feb-07,808
300S,Canada,Mar-07,828
300S,Canada,Apr-07,830
300S,Canada,May-07,824
300S,Canada,Jun-07,845
300S,Canada,Jul-07,814
300S,Canada,Aug-07,825
300S,Canada,Sep-07,837
300S,Canada,Oct-07,852
300S,Canada,Nov-07,852
300S,Canada,Dec-07,852
300S,Canada,Jan-08,854
300S,Canada,Feb-08,820
300S,Canada,Mar-08,826
300S,Canada,Apr-08,841
300S,Canada,May-08,820
300S,Canada,Jun-08,831
300S,Canada,Jul-08,852
300S,Canada,Aug-08,843
300S,Canada,Sep-08,848
300S,Canada,Oct-08,834
300S,Canada,Nov-08,829
300S,Canada,Dec-08,823
300S,Brazil,Jan-07,840
300S,Brazil,Feb-07,823
300S,Brazil,Mar-07,811
300S,Brazil,Apr-07,835
300S,Brazil,May-07,853
300S,Brazil,Jun-07,826
300S,Brazil,Jul-07,853
300S,Brazil,Aug-07,829
300S,Brazil,Sep-07,853
300S,Brazil,Oct-07,852
300S,Brazil,Nov-07,846
300S,Brazil,Dec-07,806
300S,Brazil,Jan-08,820
300S,Brazil,Feb-08,819
300S,Brazil,Mar-08,821
300S,Brazil,Apr-08,839
300S,Brazil,May-08,809
300S,Brazil,Jun-08,835
300S,Brazil,Jul-08,817
300S,Brazil,Aug-08,854
300S,Brazil,Sep-08,852
300S,Brazil,Oct-08,822
300S,Brazil,Nov-08,811
300S,Brazil,Dec-08,810
300S,Argentina,Jan-07,818
300S,Argentina,Feb-07,837
300S,Argentina,Mar-07,852
300S,Argentina,Apr-07,806
300S,Argentina,May-07,819
300S,Argentina,Jun-07,813
300S,Argentina,Jul-07,844
300S,Argentina,Aug-07,837
300S,Argentina,Sep-07,821
300S,Argentina,Oct-07,817
300S,Argentina,Nov-07,831
300S,Argentina,Dec-07,824
300S,Argentina,Jan-08,853
300S,Argentina,Feb-08,817
300S,Argentina,Mar-08,825
300S,Argentina,Apr-08,832
300S,Argentina,May-08,848
300S,Argentina,Jun-08,809
300S,Argentina,Jul-08,836
300S,Argentina,Aug-08,819
300S,Argentina,Sep-08,836
300S,Argentina,Oct-08,806
300S,Argentina,Nov-08,825
300S,Argentina,Dec-08,846
300S,UK,Jan-07,824
300S,UK,Feb-07,821
300S,UK,Mar-07,825
300S,UK,Apr-07,853
300S,UK,May-07,809
300S,UK,Jun-07,833
300S,UK,Jul-07,839
300S,UK,Aug-07,826
300S,UK,Sep-07,837
300S,UK,Oct-07,854
300S,UK,Nov-07,844
300S,UK,Dec-07,825
300S,UK,Jan-08,854
300S,UK,Feb-08,820
300S,UK,Mar-08,815
300S,UK,Apr-08,807
300S,UK,May-08,844
300S,UK,Jun-08,839
300S,UK,Jul-08,817
300S,UK,Aug-08,843
300S,UK,Sep-08,820
300S,UK,Oct-08,843
300S,UK,Nov-08,834
300S,UK,Dec-08,852
300S,France,Jan-07,842
300S,France,Feb-07,843
300S,France,Mar-07,855
300S,France,Apr-07,846
300S,France,May-07,832
300S,France,Jun-07,843
300S,France,Jul-07,838
300S,France,Aug-07,853
300S,France,Sep-07,815
300S,France,Oct-07,818
300S,France,Nov-07,829
300S,France,Dec-07,821
300S,France,Jan-08,818
300S,France,Feb-08,812
300S,France,Mar-08,854
300S,France,Apr-08,833
300S,France,May-08,827
300S,France,Jun-08,831
300S,France,Jul-08,838
300S,France,Aug-08,854
300S,France,Sep-08,845
300S,France,Oct-08,837
300S,France,Nov-08,855
300S,France,Dec-08,854
300S,Germany,Jan-07,819
300S,Germany,Feb-07,833
300S,Germany,Mar-07,813
300S,Germany,Apr-07,808
300S,Germany,May-07,825
300S,Germany,Jun-07,851
300S,Germany,Jul-07,809
300S,Germany,Aug-07,814
300S,Germany,Sep-07,846
300S,Germany,Oct-07,836
300S,Germany,Nov-07,824
300S,Germany,Dec-07,827
300S,Germany,Jan-08,825
300S,Germany,Feb-08,813
300S,Germany,Mar-08,819
300S,Germany,Apr-08,810
300S,Germany,May-08,842
300S,Germany,Jun-08,823
300S,Germany,Jul-08,822
300S,Germany,Aug-08,839
300S,Germany,Sep-08,811
300S,Germany,Oct-08,811
300S,Germany,Nov-08,830
300S,Germany,Dec-08,817
300S,Spain,Jan-07,807
300S,Spain,Feb-07,823
300S,Spain,Mar-07,844
300S,Spain,Apr-07,813
300S,Spain,May-07,837
300S,Spain,Jun-07,833
300S,Spain,Jul-07,835
300S,Spain,Aug-07,812
300S,Spain,Sep-07,835
300S,Spain,Oct-07,846
300S,Spain,Nov-07,826
300S,Spain,Dec-07,809
300S,Spain,Jan-08,829
300S,Spain,Feb-08,829
300S,Spain,Mar-08,816
300S,Spain,Apr-08,854
300S,Spain,May-08,848
300S,Spain,Jun-08,823
300S,Spain,Jul-08,813
300S,Spain,Aug-08,845
300S,Spain,Sep-08,850
300S,Spain,Oct-08,850
300S,Spain,Nov-08,836
300S,Spain,Dec-08,851
300S,Italy,Jan-07,809
300S,Italy,Feb-07,850
300S,Italy,Mar-07,837
300S,Italy,Apr-07,839
300S,Italy,May-07,847
300S,Italy,Jun-07,833
300S,Italy,Jul-07,844
300S,Italy,Aug-07,850
300S,Italy,Sep-07,811
300S,Italy,Oct-07,843
300S,Italy,Nov-07,807
300S,Italy,Dec-07,807
300S,Italy,Jan-08,839
300S,Italy,Feb-08,829
300S,Italy,Mar-08,846
300S,Italy,Apr-08,831
300S,Italy,May-08,826
300S,Italy,Jun-08,844
300S,Italy,Jul-08,836
300S,Italy,Aug-08,846
300S,Italy,Sep-08,847
300S,Italy,Oct-08,838
300S,Italy,Nov-08,815
300S,Italy,Dec-08,837
300S,China,Jan-07,830
300S,China,Feb-07,811
300S,China,Mar-07,842
300S,China,Apr-07,822
300S,China,May-07,820
300S,China,Jun-07,833
300S,China,Jul-07,825
300S,China,Aug-07,824
